,0,1,2
303,191,192,160
304,191,192,160
305,191,192,160
306,190,191,159
307,190,191,159
308,190,191,159
309,190,191,159
310,190,191,159
311,190,191,159
312,190,191,159
313,191,192,160
314,191,192,160
315,191,192,160
316,191,192,160
317,191,192,160
318,191,192,160
319,191,192,160
320,191,192,160
321,191,192,160
322,191,192,160
323,191,192,160
324,191,194,162
325,191,194,162
326,191,194,162
327,191,194,162
328,191,194,162
329,191,194,162
330,191,194,162
331,191,194,162
332,191,194,162
333,191,194,162
334,191,194,162
335,191,194,162
336,191,194,162
337,191,194,162
338,191,194,162
339,191,194,162
340,191,194,162
341,191,194,162
342,191,194,162
343,191,194,162
344,191,194,162
345,191,194,162
346,189,195,162
347,189,195,162
348,189,194,164
349,189,194,164
350,189,194,164
351,189,194,164
352,189,194,164
353,189,194,164
354,189,194,164
355,189,194,164
356,189,194,164
357,189,194,164
358,189,194,164
359,189,194,164
360,189,193,165
361,189,193,165
362,187,192,167
363,187,192,167
364,187,192,167
365,187,192,167
366,187,192,167
367,187,192,167
368,187,192,167
369,187,192,167
370,187,192,167
371,187,192,167
372,187,192,167
373,187,192,167
374,187,192,167
375,187,192,167
376,187,192,167
377,187,192,167
378,187,192,167
379,187,192,167
380,187,192,167
381,187,192,167
382,187,192,167
383,187,192,167
384,187,192,167
385,187,192,167
386,185,190,165
387,185,190,165
388,185,190,165
389,185,190,165
390,185,190,165
391,185,190,165
392,185,190,165
393,185,190,165
394,185,190,165
395,185,190,165
396,185,190,165
397,185,190,165
398,185,190,165
399,185,190,165
400,183,191,165
401,183,191,165
402,183,191,165
403,183,191,165
404,183,191,165
405,183,191,165
406,183,191,165
407,183,191,165
408,182,190,164
409,182,190,164
410,182,190,164
411,182,190,164
412,182,190,164
413,182,190,164
414,182,190,164
415,182,190,164
416,178,189,165
417,178,189,165
418,178,189,165
419,178,189,165
420,178,189,165
421,178,189,165
422,178,189,165
423,177,188,164
424,177,188,164
425,177,188,164
426,177,188,164
427,177,188,164
428,177,188,164
429,177,188,164
430,177,188,164
431,177,188,164
432,178,189,165
433,178,189,165
434,178,189,165
435,178,189,165
436,177,188,164
437,177,188,164
438,177,188,164
439,177,188,164
440,177,188,164
441,177,188,164
442,177,188,164
443,177,188,164
444,176,187,161
445,176,187,161
446,176,187,161
447,176,187,161
448,176,187,161
449,176,187,161
450,176,187,161
451,176,187,161
452,176,187,161
453,176,187,161
454,176,187,161
455,176,187,161
456,175,186,160
457,175,186,160
458,175,186,160
459,175,186,160
460,175,186,160
461,175,186,160
462,175,186,160
463,175,186,160
464,175,186,160
465,173,184,158
466,173,184,158
467,173,184,158
468,173,184,158
469,173,184,158
470,173,184,158
471,173,184,158
472,172,183,157
473,172,183,157
474,172,183,157
475,172,183,157
476,172,183,157
477,172,183,157
478,172,183,157
479,172,183,157
480,171,182,156
481,171,182,156
482,171,182,156
483,171,182,156
484,171,182,156
485,171,182,156
486,171,182,156
487,171,182,156
488,171,182,156
489,171,182,156
490,171,182,156
491,171,182,156
492,171,182,156
493,171,182,156
494,171,182,156
495,171,182,156
496,173,184,158
497,172,183,157
498,176,185,156
499,175,184,155
500,176,185,156
501,175,184,155
502,176,185,156
503,175,184,155
504,178,187,158
505,178,187,158
506,178,187,158
507,178,187,158
508,178,187,158
509,178,187,158
510,178,187,158
511,178,187,158
512,178,187,158
513,178,187,158
514,178,187,158
515,178,187,158
516,178,187,158
517,178,187,158
518,178,187,158
519,178,187,158
520,175,187,158
521,175,187,158
522,175,187,158
523,175,187,158
524,175,187,158
525,175,187,158
526,175,187,158
527,175,187,158
528,175,187,158
529,175,187,158
530,175,187,158
531,175,187,158
532,173,185,156
533,173,185,156
534,173,185,156
535,173,185,156
536,173,185,156
537,173,185,156
